어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
형방,단어,한자어,刑房,"한자 刑房
","「명사」
","「1」조선 시대에, 승정원에 속한 육방(六房) 가운데 형전(刑典)에 관한 일을 맡아보던 부서.
「2」조선 시대에, 각 지방 관아에 속한 육방(六房) 가운데 형전(刑典)에 관한 일을 맡아보던 부서.
「3」조선 시대에, 각 지방 관아의 형방(刑房)에 속하여 형전(刑典)에 관한 일을 맡아보던 구실아치.
"
형방-승지,단어,한자어,刑房承旨,"한자 刑房承旨
","「명사」
","조선 시대에, 승정원에서 형방을 맡아보던 승지. 우부승지가 맡았다.
"
형방-아전,단어,한자어,刑房衙前,"한자 刑房衙前
","「명사」
","조선 시대에, 각 지방 관아의 형방(刑房)에 속하여 형전(刑典)에 관한 일을 맡아보던 구실아치.
"
형배,단어,한자어,刑配,"한자 刑配
","「명사」
","죄인을 때린 후에 귀양을 보내던 일. 또는 그런 형벌.
"
형배-되다,단어,혼종어,刑配되다,"한자 刑配
고유어 되다
","「동사」
","죄인이 매를 맞은 후에 귀양을 가게 되다.
"
형배-하다,단어,혼종어,刑配하다,"한자 刑配
고유어 하다
","「동사」
","죄인을 때린 후에 귀양을 보내다.
"
형벌,단어,한자어,刑罰,"한자 刑罰
","「명사」
","범죄에 대한 법률의 효과로서 국가 따위가 범죄자에게 제재를 가함. 또는 그 제재.
"
형벌-권,단어,한자어,刑罰權,"한자 刑罰權
","「명사」
","범죄를 이유로 범죄인에 대하여 형벌을 부과하는 국가의 기능. 또는 그 구체적인 권리.
"
형벌^능력,구,한자어,刑罰能力,"한자 刑罰能力
","「품사 없음」
","형벌을 받을 수 있는 자격 내지 능력.
"
형벌-보응주의,단어,한자어,刑罰報應主義,"한자 刑罰報應主義
","「명사」
","형벌은 죄에 대한 정당한 보복을 가하는 데 목적이 있다고 보는 사상.
"
형벌^불소급의^원칙,구,혼종어,刑罰不遡及의原則,"한자 刑罰不遡及
고유어 의
한자 原則
","「품사 없음」
","형벌 법규는 그 시행 이후에 이루어진 행위에 대하여만 적용되고, 시행 이전의 행위에까지 소급하여 적용될 수 없다는 원칙.
"
형벌-양정,단어,한자어,刑罰量定,"한자 刑罰量定
","「명사」
","형법에 규정된 범위 안에서 범죄자에게 줄 형벌의 종류와 정도를 결정하는 법원의 활동.
"
형벌-응보주의,단어,한자어,刑罰應報主義,"한자 刑罰應報主義
","「명사」
","형벌은 죄에 대한 정당한 보복을 가하는 데 목적이 있다고 보는 사상.
"
형벌-하다,단어,혼종어,刑罰하다,"한자 刑罰
고유어 하다
","「동사」
","범죄에 대한 법률의 효과로서 국가 따위가 범죄자에게 제재를 가하다.
"
형범,단어,한자어,刑範,"한자 刑範
","「명사」
","본받아 배울 만한 대상.
"
형법,단어,한자어,刑法,"한자 刑法
","「명사」
","범죄와 형벌에 관한 법률 체계. 어떤 행위가 처벌되고 그 처벌은 어느 정도이며 어떤 종류의 것인가를 규정한다.
"
형법-대전,단어,한자어,刑法大全,"한자 刑法大全
","「명사」
","대한 제국 광무 9년(1905) 5월 29일에 공포한 형법전(刑法典). ≪대전회통≫을 보완한 것으로, 서구식 근대 형법전 편찬 방식을 대체로 따랐으며 형벌이 일반적으로 준엄하였는데, 일제 강점기에 폐지되었다.
"
형법-학,단어,한자어,刑法學,"한자 刑法學
","「명사」
","형법의 이론 및 응용에 관하여 연구하는 학문.
"
형벽,단어,한자어,刑辟,"한자 刑辟
","「명사」
","죄지은 사람을 형법에 따라 죽임.
"
형벽-하다,단어,혼종어,刑辟하다,"한자 刑辟
고유어 하다
","「동사」
","죄지은 사람을 형법에 따라 죽이다.
"
형별,단어,한자어,迥別,"한자 迥別
","「명사」
","아주 동뜨게 다름.
"
형별-하다,단어,혼종어,迥別하다,"한자 迥別
고유어 하다
","「형용사」
","아주 동뜨게 다르다.
"
형병,단어,한자어,刑柄,"한자 刑柄
","「명사」
","사람을 단죄하는 권력.
"
형 보니 아우,속담,,,,"「구」
","형을 보면 그 아우도 짐작할 수 있다는 말.
"
형부(01),단어,한자어,兄夫,"한자 兄夫
","「명사」
","언니의 남편을 이르거나 부르는 말.
"
형부(02),단어,한자어,刑部,"한자 刑部
","「명사」
","고려 시대에 둔 육부(六部)의 하나. 법률·소송·재판에 관한 일을 맡아보던 관아이다. 성종 14년(995)에 형관(刑官)을 고친 것으로, 충렬왕 원년(1275)에 전법사로 고쳤다.
"
형부(03),단어,한자어,荊婦,"한자 荊婦
","「명사」
","남에게 자기의 아내를 낮추어 이르는 말. 중국 후한 때에 양홍(梁鴻)의 아내 맹광(孟光)이 가시나무 비녀를 꽂고 무명으로 만든 치마를 입었다는 데서 유래한다.
"
형부^상서,구,한자어,刑部尙書,"한자 刑部尙書
","「품사 없음」
","고려 시대에 둔 형부(刑部)의 으뜸 벼슬.
"
형비,단어,한자어,荊扉,"한자 荊扉
","「명사」
","「1」가시나무로 짜 만든 문짝.
「2」조잡하고 허름하게 만든 문짝.
「3」가시나무로 짜 만든 사립문이라는 뜻으로, 매우 구차한 살림을 비유적으로 이르는 말.
"
형사(01),단어,한자어,刑死,"한자 刑死
","「명사」
","형을 받아 죽음.
"
형사(02),단어,한자어,刑事,"한자 刑事
","「명사」
","「1」형법의 적용을 받는 사건.
「2」범죄의 수사 및 범인의 체포를 직무로 하는 사복(私服) 경찰관을 통틀어 이르는 말.
"
형사(03),단어,한자어,形似,"한자 形似
","「명사」
","형체가 서로 비슷함.
"
형사(04),단어,한자어,形寫,"한자 形寫
","「명사」
","어떤 사물의 모양을 본떠서 글로 쓰거나 베낌.
"
형사^경찰,구,한자어,刑事警察,"한자 刑事警察
","「품사 없음」
","범죄의 수사, 범인의 체포 따위와 같은 국가의 사법 작용과 관련한 일을 하는 경찰. 또는 그 활동. 행정 경찰과는 달리 형사 소송법의 규정에 따라 직무를 수행한다.
"
형사-국,단어,한자어,刑事局,"한자 刑事局
","「명사」
","구한말에, 법부에 속하여 형사(刑事)·검찰(檢察)·은사(恩赦)에 관한 일을 맡아보던 관아. 고종 31년(1894)에 법무아문에 두었다가 이듬해에 법부로 옮기고 광무 3년(1899)에 없앴으며, 광무 9년(1905)에 다시 두어 융희 3년(1909)에 없앴다.
"
형사^금치산자,구,한자어,刑事禁治産者,"한자 刑事禁治産者
","「품사 없음」
","예전에, 형사법에서 금치산 부가형(附加刑)을 받은 사람을 이르던 말.
"
형사^미성년자,구,한자어,刑事未成年者,"한자 刑事未成年者
","「품사 없음」
","14세 미만이어서 형법에서의 책임 능력이 없는 것으로 간주되는 사람. 형벌 법규를 어기는 행위를 해도 처벌되지 않는다.
"
형사-벌,단어,한자어,刑事罰,"한자 刑事罰
","「명사」
","사회 공동생활을 침해하는 반도덕적·반사회적인 범죄에 부과하는 제재.
"
형사-범,단어,한자어,刑事犯,"한자 刑事犯
","「명사」
","법률 규범에 의하지 아니하고도 그 부당성이 자명한, 행위 자체가 반사회적이고 반도덕적인 범죄. 살인·강도·방화 따위가 이에 속한다.
"
형사-법,단어,한자어,刑事法,"한자 刑事法
","「명사」
","국가 형벌권의 내용과 그 집행 방법 따위를 규정한 법률. 형법, 형사 소송법, 형의 집행 및 수용자의 처우에 관한 법률 따위를 이른다.
"
형사^보상,구,한자어,刑事補償,"한자 刑事補償
","「품사 없음」
","국가 형사 사법의 잘못으로 말미암아 죄 없이 구금 또는 형 집행을 받은 사람에게 국가가 손해를 보상하는 일.
"
형사^보상법,구,한자어,刑事補償法,"한자 刑事補償法
","「품사 없음」
","형사 보상에 관한 법률.
"
형사-부,단어,한자어,刑事部,"한자 刑事部
","「명사」
","합의부 법원에서 형사 사건을 담당하는 부서.
"
형사^사건,구,한자어,刑事事件,"한자 刑事事件
","「품사 없음」
","형법의 적용을 받게 되는 사건.
"
형사^사회학,구,한자어,刑事社會學,"한자 刑事社會學
","「품사 없음」
","범죄를 사회적 현상으로 간주하여 그 발생의 원인 및 조건을 탐구하는 학문. 사회학의 한 분야이다.
"
형사^사회학파,구,한자어,刑事社會學派,"한자 刑事社會學派
","「품사 없음」
","범죄의 원인이 되는 사회적 요소를 고려하여 형벌이나 그 밖의 범죄 대책을 연구하는 학파.
"
형사^섭외^사건,구,한자어,刑事涉外事件,"한자 刑事涉外事件
","「품사 없음」
","자국 영토 내에서 자국 또는 자국민과 외국 또는 외국인과의 사이에 발생한 형사 사건을 통틀어 이르는 말.
"
형사^소송,구,한자어,刑事訴訟,"한자 刑事訴訟
","「품사 없음」
","형벌 법규를 위반한 사람에게 형벌을 부과하기 위한 재판 절차. 유죄 판결을 요구하는 검사와 방어하는 입장의 피고인이 대립하고, 제삼자인 법원이 판단한다.
"
형사^소송법,구,한자어,刑事訴訟法,"한자 刑事訴訟法
","「품사 없음」
","형사 소송의 절차를 규정한 절차법.
"
형사^소송^비용^등에^관한^법률,구,혼종어,刑事訴訟費用等에關한法律,"한자 刑事訴訟費用等
고유어 에
한자 關
고유어 한
한자 法律
","「품사 없음」
","형사 소송에 필요한 여러 가지 비용에 관하여 규정한 법률.
"
형사^소추,구,한자어,刑事訴追,"한자 刑事訴追
","「품사 없음」
","검사가 피고인을 기소하여 그 형사 책임을 추궁하는 일.
"
형사^순경,구,한자어,刑事巡警,"한자 刑事巡警
","「품사 없음」
","범죄의 수사나 범인을 체포하는 일을 맡아 하는 순경.
"
형사^시효,구,한자어,刑事時效,"한자 刑事時效
","「품사 없음」
","형법의 적용을 받게 되는 사항의 처리에 대하여 정해 놓은 법률적인 기간. 일정 기간의 경과에 따라 공소권이 소멸되는 공소 시효와, 형의 집행권이 소멸되는 형(刑) 시효가 있다.
"
형사^심리학,구,한자어,刑事心理學,"한자 刑事心理學
","「품사 없음」
","상습 범죄자의 심적 특질이나 행동 따위를 연구하는 학문.
"
형사^인류학파,구,한자어,刑事人類學派,"한자 刑事人類學派
","「품사 없음」
","범죄의 원인을 주로 인류학적 관점에서 찾으려는 학파. 범죄인은 해부학적, 인류학적으로 일정한 변질 징후를 가지고 있다는 학설을 이어받았다.
"
형사-자,단어,한자어,刑死者,"한자 刑死者
","「명사」
","형을 받아 죽은 사람.
"
형사^재판,구,한자어,刑事裁判,"한자 刑事裁判
","「품사 없음」
","형사 사건에 관한 재판. 범죄자에게 형벌을 과하기 위하여 형사 소송법이 정하는 절차에 따라 행한다.
"
형사^재판권,구,한자어,刑事裁判權,"한자 刑事裁判權
","「품사 없음」
","형사 사건에 관하여 심판하는 권한. 국내에 있는 모든 사람에게는 미치지만, 국외에 있는 사람에게는 미치지 않는다.
"
형사^정책,구,한자어,刑事政策,"한자 刑事政策
","「품사 없음」
","범죄의 실태나 원인, 형벌 제도의 기능 따위의 연구를 바탕으로 범죄의 예방 및 범죄인의 교정을 위하여 취하는 정책.
"
형사^제재,구,한자어,刑事制裁,"한자 刑事制裁
","「품사 없음」
","국가가 형법에서의 범법자에게 벌을 부과하는 일. 또는 그 벌.
"
형사지,단어,한자어,兄事之,"한자 兄事之
","「명사」
","나이가 자기보다 조금 많은 남을 형의 예로써 섬김.
"
형사^지방^법원,구,한자어,刑事地方法院,"한자 刑事地方法院
","「품사 없음」
","형사 소송 사건을 전문적으로 다루는 지방 법원.
"
형사지-하다,단어,혼종어,兄事之하다,"한자 兄事之
고유어 하다
","「동사」
","나이가 자기보다 조금 많은 남을 형의 예로써 섬기다.
"
형사^직권법,구,한자어,刑事職權法,"한자 刑事職權法
","「품사 없음」
","형벌을 적용하는 국가의 권한을 규제하는 법. 법원 조직법 따위이다.
"
형사^책임,구,한자어,刑事責任,"한자 刑事責任
","「품사 없음」
","불법 행위에 대하여 형벌을 받아야 할 법률적인 책임. 범죄의 구성 요건에 해당하는 위법 및 유책 행위에만 인정된다.
"
형사^책임^능력,구,한자어,刑事責任能力,"한자 刑事責任能力
","「품사 없음」
","자기 행동의 성격을 이해하고 자신을 통제할 능력이 있기 때문에 형사 책임을 질 수 있다고 법이 인정하는 개인의 지적 상태.
"
형사^책임^능력자,구,한자어,刑事責任能力者,"한자 刑事責任能力者
","「품사 없음」
","형사 책임을 질 수 있는 능력이 있다고 법이 인정하는 사람.
"
형사^책임^무능력,구,한자어,刑事責任無能力,"한자 刑事責任無能力
","「품사 없음」
","자기 행동의 성격을 이해하고 자신을 통제할 만한 능력이 없기 때문에 형사 책임을 질 수 없다고 법이 인정하는 개인의 지적 상태.
"
형사^책임^무능력자,구,한자어,刑事責任無能力者,"한자 刑事責任無能力者
","「품사 없음」
","형사 책임을 질 수 있는 능력이 없다고 법이 인정하는 사람.
"
형사^책임^추궁,구,한자어,刑事責任追窮,"한자 刑事責任追窮
","「품사 없음」
","형사 책임을 질 사람과 그 책임의 범위를 정식으로 결정하는 행위.
"
형사^처벌,구,한자어,刑事處罰,"한자 刑事處罰
","「품사 없음」
","위법한 행위를 한 자에게 법률적으로 형사 책임을 묻는 일. 또는 처벌을 받기 위해 정식으로 사고 조사 및 처리가 이루어지는 일.
"
형사^처분,구,한자어,刑事處分,"한자 刑事處分
","「품사 없음」
","범죄를 이유로 하여 형벌을 가하는 처벌.
"
형사취수,단어,한자어,兄死娶嫂,"한자 兄死娶嫂
","「명사」
","부여 때에 있었던 풍습의 하나. 형이 죽으면 형수를 부양하던 풍습으로 재산 상속과 관련이 있다.
"
형사^특별법,구,한자어,刑事特別法,"한자 刑事特別法
","「품사 없음」
","형법과 형사 소송법에 관한 특별법. 국가 보안법·경범죄 처벌법 따위와, 대한민국과 미합중국 간의 상호 방위 조약에 의한 시설과 구역 및 우리나라에서의 미국 군대 지위에 관한 협정의 시행에 관한 법규를 이른다.
"
형사^판결,구,한자어,刑事判決,"한자 刑事判決
","「품사 없음」
","형사 소송 사건에서 법원이 내리는 판결.
"
형사^피고인,구,한자어,刑事被告人,"한자 刑事被告人
","「품사 없음」
","범죄의 혐의가 있어 검사에게 기소되어 법원의 심리를 받고 있는 피의자.
"
형사-하다(01),단어,혼종어,刑死하다,"한자 刑死
고유어 하다
","「동사」
","형을 받아 죽다.
"
형사-하다(02),단어,혼종어,形似하다,"한자 形似
고유어 하다
","「형용사」
","형체가 서로 비슷하다.
"
형사-하다(03),단어,혼종어,形寫하다,"한자 形寫
고유어 하다
","「동사」
","어떤 사물의 모양을 본떠서 글로 쓰거나 베끼다.
"
형사-학,단어,한자어,刑事學,"한자 刑事學
","「명사」
","범죄 및 형벌에 관한 사항을 연구하는 학문.
"
형삭,단어,한자어,形削,"한자 形削
","「명사」
","셰이퍼로 작은 공작물의 평면을 깎거나 홈을 팜. 또는 그런 방식.
"
형삭-반,단어,한자어,形削盤,"한자 形削盤
","「명사」
","소형의 공작물을 고정하여 왕복하는 칼날로써 평면이나 홈을 깎는 공작 기계.
"
형삭-하다,단어,혼종어,形削하다,"한자 形削
고유어 하다
","「동사」
","셰이퍼로 작은 공작물의 평면을 깎거나 홈을 파다.
"
형산,단어,한자어,衡山,"한자 衡山
","「명사」
","→ 헝산산02.
"
형산-강,단어,한자어,兄山江,"한자 兄山江
","「명사」
","경상북도 경주시에서 시작하여 영일만으로 흘러드는 강. 길이는 63.34km.
"
형산강^지구대,구,한자어,兄山江地溝帶,"한자 兄山江地溝帶
","「품사 없음」
","형산강 유역, 태백산맥의 끝 동쪽 기슭에 발달한 지구대. 이곳에 발달한 경주 분지(慶州盆地)는 신라 문화의 중심지였다.
"
형산강-평야,단어,한자어,兄山江平野,"한자 兄山江平野
","「명사」
","경상북도와 경상남도의 경계 지역인 형산강 유역에 전개된 평야. 울산만에서 영일만에 이르는 지구(地溝) 평야로 동해안의 유일한 농업 지역을 이루어 쌀, 보리, 콩 따위를 산출한다. 지대가 낮아 예로부터 교통로로 이용되었다.
"
형산-백옥,단어,한자어,荊山白玉,"한자 荊山白玉
","「명사」
","「1」중국 형산에서 나는 백옥이라는 뜻으로, 보물로 전해 오는 흰 옥돌을 이르는 말.
「2」어질고 착한 사람을 비유적으로 이르는 말.
"
형산지옥,단어,한자어,荊山之玉,"한자 荊山之玉
","「명사」
","「1」중국 형산에서 나는 백옥이라는 뜻으로, 보물로 전해 오는 흰 옥돌을 이르는 말.
「2」어질고 착한 사람을 비유적으로 이르는 말.
"
형살,단어,한자어,刑殺,"한자 刑殺
","「명사」
","사형을 집행함.
"
형살-하다,단어,혼종어,刑殺하다,"한자 刑殺
고유어 하다
","「동사」
","사형을 집행하다.
"
형-삼릉,단어,한자어,荊三稜,"한자 荊三稜
","「명사」
","사초과의 여러해살이풀. 높이는 1.5미터 정도이고 뿌리는 길게 뻗으며, 끝에 단단한 덩이뿌리가 몇 개 생긴다. 세모진 줄기는 곧게 서며 광택이 난다. 7~8월에 이삭 모양의 진한 갈색 꽃이 줄기 끝에서 산형(繖形) 화서로 피고 열매는 수과(瘦果)이다. 뿌리는 한약재로 쓴다. 논이나 늪 같은 습지에 나는데 한국, 일본, 중국 등지에 분포한다.
"
형상(01),단어,한자어,刑賞,"한자 刑賞
","「명사」
","형벌과 상여를 아울러 이르는 말.
"
형상(02),단어,한자어,形狀,"한자 形狀
","「명사」
","「1」사물의 생긴 모양이나 상태.
「2」어떤 일의 형편이나 정황.
"
형상(03),단어,한자어,形相,"한자 形相
","「명사」
","「1」사물의 생긴 모양이나 상태.
「2」형상을 인식론적 관점에서 표현하는 플라톤의 용어. 그는 한 사물의 확정된 모습은 다른 사물과 그것을 구별해 주는 일차적 기준이 된다고 하여 이 용어를 사용하였으며, 형상을 존재론적 관점에서 표현할 때는 이데아를 주로 사용하였다.
"
형상(04),단어,한자어,形象/形像,"한자 形象
/(병기) /
한자 形像
","「명사」
","「1」사물의 생긴 모양이나 상태.
「2」마음과 감각에 의하여 떠오르는 대상의 모습을 떠올리거나 표현함. 또는 그런 형태.
"
형상^기억,구,한자어,形象記憶,"한자 形象記憶
","「품사 없음」
","경험하였거나 배운 것을 머릿속에 새겨 두었다가 시각적, 청각적 표상을 토대로 되살려 내는 심리 과정.
"
형상^기억^수지,구,한자어,形狀記憶樹脂,"한자 形狀記憶樹脂
","「품사 없음」
","높은 온도에서 어떤 형태로 가공해 두어, 일시적인 변형이 일어나도 가열에 의하여 본래의 형태로 되돌아가는 성질을 가진 수지. 고무의 일종인 트란스폴리아이소프렌 따위가 있다.
"
형상^기억^합금,구,한자어,形狀記憶合金,"한자 形狀記憶合金
","「품사 없음」
","여러 가지 금속 합금 가운데 전이 온도 이하에서 변형하여도 전이 온도 이상이 되면 변형 이전의 모양으로 되돌아가는 성질을 가진 합금. 타이타늄·니켈 합금이 대표적이며, 온도 센서 따위에 쓴다.
"
형상-되다,단어,혼종어,形象되다/形像되다,"한자 形象
고유어 되다
/(병기) /
한자 形像
고유어 되다
","「동사」
","마음과 감각에 의하여 떠오르는 대상의 모습이 떠오르거나 표현되다.
"
형상-령,단어,한자어,形像靈,"한자 形像靈
","「명사」
","육체에 깃들어 마음의 작용을 맡고 생명을 부여한다고 여겨지는 비물질적 실체.
"
형상^문자,구,한자어,形象文字,"한자 形象文字
","「품사 없음」
","물건의 모양을 본떠 글자를 만들어 글자의 모양에서 원형과의 관련이 조금이라도 보이는 문자. 회화 문자, 초기의 한자, 수메르 문자, 고대 이집트의 신성 문자 따위가 있다.
"
형상-물,단어,한자어,形象物,"한자 形象物
","「명사」
","어떤 모양을 가진 물체.
"
형상^방법,구,한자어,形象方法,"한자 形象方法
","「품사 없음」
","형상을 창조하는 방법. 창작 방법과 같은 뜻으로도 쓴다.
"
형상-석,단어,한자어,形象石,"한자 形象石
","「명사」
","지층 속에 파묻혀 있는, 동식물과 비슷한 생김새를 가진 돌.
"
형상-성,단어,한자어,形像性,"한자 形像性
","「명사」
","구체성과 진실성을 가지고 인간의 생활을 현실 그대로 그려 내는 문학예술의 특성.
"
형상^신호,구,한자어,形象信號,"한자 形象信號
","「품사 없음」
","원뿔, 공, 북의 세 가지 형상으로 행하는 배의 신호. 해상에서 함선과 배들의 충돌 예방, 위험 표지 따위를 위하여 행한다.
"
형상^예술,구,한자어,形象藝術,"한자 形象藝術
","「품사 없음」
","조각, 회화 따위와 같이 시각적인 형태를 갖춘 예술.
"
형상-인,단어,한자어,形相因,"한자 形相因
","「명사」
","아리스토텔레스 철학에서, 사물이 생성되기 위한 네 가지 원인 가운데 사물의 본질이나 형상이 되는 원인. 집의 설계도와 같은 요소이다.
"
